Name,Age,Push-Ups,Sit-Ups,2.4-Km-Run
Sean Hendricks,38,25,74,1212
Phillip Brown DDS,59,15,15,852
Ryan Gray MD,24,45,78,1074
Kathleen Nguyen,25,59,7,877
Gregory Diaz,27,64,35,571
Christina Luna,32,37,58,532
Diana Martinez,29,70,72,694
David Contreras,39,41,48,1269
Linda Cooke,25,9,16,830
Tony Johnson,38,69,25,836
Melissa Stone,50,6,7,1263
Samuel Mendez,58,12,37,1267
Christy Miller,31,57,52,1099
Thomas Stafford,52,75,57,1131
Jacob Rodriguez,39,9,77,875
Michael Jones,18,51,54,822
Randy Levy,29,59,34,1273
Tammy Hunter,52,69,1,677
Samantha Nicholson,30,79,37,1044
Michelle White,43,12,27,1263
Maria Coleman,30,12,60,1196
Jonathan Kim,19,22,63,1095
Mark Johnson,28,16,32,1035
Joshua Bowen,28,24,15,788
Justin Garrett,20,31,65,533
Natalie Cunningham,52,79,43,1150
Tyler Ross,22,19,46,950
Duane Campbell,38,9,41,895
Carly Young,44,16,46,1133
Evan Mclean,23,12,27,639
Steven Brown,51,64,76,1154
Robin Thompson,46,6,38,782
Kristina Jones,39,31,42,1271
Susan Mayo,21,62,9,1273
Katie Berry,18,62,57,838
Lauren Powell,48,36,80,516
Anita Dunn,29,32,20,890
James Vazquez,44,1,44,884
Brett Robinson,52,70,76,1161    
Megan Kline,38,3,76,1126
Richard James,43,78,34,717
David Moore,30,60,48,833
Gina Hester,29,72,9,1202
Michael Barnes,27,24,30,556
Christy Garrett,59,20,9,1101
Matthew Patrick,40,33,31,1112
Ryan Cook,25,55,18,769
Robert Gibson,48,43,28,1105
Veronica Thomas,22,6,33,1197
Louis Mason,50,8,26,1100
Stacy Arnold,45,58,19,1098
Kelly Johnston,26,19,55,1164
Sharon Rivers,30,37,73,1034
Karen Brown,38,36,73,523
Shannon Davis,20,62,6,1142
Danielle Nguyen,39,6,41,575
Tonya Lindsey MD,43,9,75,577
Gary Mcdowell,24,50,35,727
Steven Kelley,41,33,22,1223
Carlos Pearson,38,66,37,993
Ashley Bowen,54,13,35,991
Gregory Mason,20,22,21,1207
Carolyn James,33,64,70,1088
Shawn Murray,46,39,13,1206
Thomas Kramer,27,23,55,1060
Donna Hardin,46,68,20,830
Heather Rodriguez,52,51,73,572
Nicholas Smith,55,68,41,579
Danny Parrish,22,50,37,845
Lori Freeman MD,50,53,70,1235
Cynthia Robbins,35,41,1,456
Kevin Blevins,47,34,60,1270
Tristan Hill,44,80,63,862
Sarah Rodgers,55,3,79,1024
Janet Torres,56,27,30,726
Linda Parker,51,8,62,1277
Cory Ramirez,22,11,38,827
Amy Dixon,26,69,40,674
Richard Kramer,49,9,8,1092
Katie Foster,36,8,35,922
Laura Castaneda,52,53,15,1192
Kristin Wilkinson,28,1,18,1097
Steven Gardner,34,53,9,811
Molly Ryan,23,56,16,921
John Spencer,52,15,63,1094
Jason Rogers,23,4,18,1084
Melissa Peters,18,25,25,530
Mary Young,41,6,24,972
Paul Jones,55,13,45,697
Kathleen Johnson,57,80,38,614
Carolyn Duarte,27,30,45,851
Keith Heath,44,15,53,912
Charles Rodriguez,23,48,32,657
Andrew Mcgee,47,2,49,499
Madeline Reese,37,27,53,1056
Alexander Cruz,50,13,58,672
Stacy Steele,24,33,49,813
James Hansen,48,46,4,758
Lisa Kirk,37,47,40,1136
Jeffrey Webster,28,9,80,495
Clinton Burns,56,15,45,740
Jose Burgess,56,2,30,1170
James Cook,23,33,44,863
Toni Alvarez,59,49,62,1116
Brian Williams,53,54,41,488
Brittany Weaver,35,61,16,1194
Joshua Arnold,53,15,43,1061
Francisco Robinson,60,12,0,981
Luis Mcgee,58,68,66,1234
Daniel Porter DDS,44,14,35,938
William Moore,45,23,53,1279
Chad Allen,47,57,11,612
Sharon Jackson,42,1,49,694
Justin Ingram,22,2,75,681
Frank Doyle DDS,59,16,1,1185
Anthony Simon,36,58,15,1171
Robert Lopez,37,70,71,1217
Kimberly Weaver MD,60,77,27,1274
Kimberly Peters,40,32,2,706
Aaron Smith,59,1,42,845
Danielle Henson,59,2,67,694
Joshua Grant,52,69,73,795
Sean Jenkins,27,69,18,993
James Smith,39,59,15,859
Deborah Zavala,47,78,54,1282
Mrs. Kristen Keller,42,33,42,970
Henry Hinton,40,28,19,614
Whitney Daniel,47,25,31,550
Alan Hancock,25,72,34,1069
Mark Scott,26,68,20,691
Shaun Gilmore,25,6,57,957
Rachel Mathis,48,73,27,933
Harry May MD,38,45,56,1224
Jorge Andrade,47,46,15,1232
Luis Thornton,53,34,20,844
Mary Mclean,21,46,41,1099
Frank Williams,45,78,76,911
Denise Murray,43,60,45,549
Bailey Mcbride,48,9,6,533
John Scott,18,61,21,600
Lisa Bradley,51,47,4,480
Jim Copeland,46,0,8,1276
Timothy Boyd,26,6,1,462
Kristin Martin,49,15,2,935
Karen Porter,41,76,3,1208
Rhonda Flynn,48,79,77,1300
Jacob Schultz,49,66,48,1254
Andrew Stevens,32,26,21,1183
Matthew Ellis,47,34,43,565
Michael Haley,31,20,0,1178
Gwendolyn Miller,35,75,41,1049
Donald Braun,22,43,79,551
Timothy Patterson,46,28,44,580
Patrick Mills,43,45,44,761
Martin Vega,54,22,54,634
Stephanie Lee,24,46,75,743
Julie Ponce,28,56,40,1272
Ryan Wallace,21,15,34,1221
Joshua Peters DVM,39,62,1,831
Jeffrey Ball,27,41,45,473
Joel Williams,39,39,50,500
Anthony Sullivan,40,50,39,1020
Michael Stokes,60,75,8,622
Jason Reyes,53,50,52,1051
Casey Collins,24,59,53,486
Felicia Maynard,23,22,56,687
Miss Marissa Brown,35,32,16,914
Alison Wright,43,52,69,1149
Kelly Page,45,4,49,522
Michael Perry,44,70,47,872
Maria Price,50,29,56,673
Maria Taylor,39,50,76,927
Connie Torres,29,78,31,1125
Danielle Smith,48,37,6,1026
Brian Thomas,24,10,14,649
Michelle Garcia,50,50,16,1063
Melissa Evans,28,72,60,509
Claudia Henderson,50,12,1,1048
Kyle Stone,28,42,80,544
Breanna Nguyen,24,42,73,595
Amy Guzman,46,62,11,998
Diana Cooley,28,43,64,1093
Andrew Scott,42,22,64,1249
James Perry,58,31,79,1075
Heidi Torres,19,27,53,850
Cheryl Haynes,32,2,34,808
Ashley Taylor,23,5,52,915
Megan Estrada,54,39,9,1072
Laura Malone,18,43,14,1113
Michael Walker,52,19,9,1084
Anne Wilson,24,21,0,656
Daniel Gonzalez,57,57,55,739
Brandi Villanueva MD,57,46,61,1216
Tammy Alvarez,31,72,26,1127
Gabriella Pope,47,45,19,1132
Andrew Walker,41,13,47,1085
Renee Smith,49,48,3,544
Michael Hanna,44,33,30,555
Joseph Williams,21,33,75,555
Nicole Alvarez,44,60,8,1001
Dr. Lacey Pena,32,73,48,873
Andrea Salinas,47,72,46,805
Alexandra Thompson MD,21,59,22,469
John Miles,51,80,7,836
Connor Johnson,56,3,58,624
Tracy Cook,33,22,39,1203
Ricky Robinson,50,13,54,641
Melissa Martinez,31,2,54,1161
Christopher Bond,27,7,32,1224
Susan Fields,28,9,61,1123
Patrick George,22,80,65,668
Lisa Smith,48,51,79,533
Rodney Avila,29,25,57,713
Jasmine Wolfe,44,26,66,506
Margaret Rodriguez,22,68,17,1260
Colin Wong,45,23,59,612
Scott Roberts,50,64,59,1130
Rebecca Johnson,52,59,2,1297
John Schaefer,43,59,48,1232
Tara Cox,44,48,57,645
Theresa Gonzalez,26,18,54,795
Tom Cooper,46,22,79,884
Mathew Diaz DDS,49,29,28,875
Nicholas Smith,23,10,18,587
Elizabeth Allen,35,17,75,1007
Matthew Hansen,55,52,43,866
Michael Norman,45,75,67,1182
Amy Johnson,33,54,7,1086
Keith Day,20,38,52,1282
Alejandro Williams,57,27,76,826
Jennifer Bradford,56,7,67,873
Marissa Mcdonald,43,54,19,572
Charles Williams,43,71,66,579
Julia Ferrell,30,13,5,1000
Victoria Ellison,59,54,73,1216
James Rice,57,35,78,735
David Miller,33,15,9,728
Angela Walker,30,21,50,1069
Robert Rodriguez,24,78,52,814
Cynthia Jackson,45,74,22,558
Brandon Schneider,19,26,40,999
Katherine Roberts,35,11,79,953
Traci Robinson,43,74,44,756
Ryan Harris,31,4,72,602
Daniel Sanders,27,66,53,1013
Kyle Simmons,19,41,68,856
Emily Marquez,47,7,62,636
Aaron Love,49,32,69,1119
Stephanie Blackwell,55,25,16,909
Sarah Campbell,26,55,50,657
Lisa Bond,23,38,53,703
Marc Boyle,44,68,9,1248
Laura Miller,30,32,7,1146
Victoria Walter,42,35,76,489
Jasmine Skinner DDS,31,15,22,1193
Jessica Hardy,20,24,9,1092
Susan Thompson,52,44,23,974
Teresa Good,54,74,18,994
Daniel Brown,33,28,56,1287
Austin Rice,22,4,40,1189
Colleen Wilson,25,36,57,977
Peter Ward,31,39,5,727
